DailyTimeSpentonSite,Age,AreaIncome,DailyInternetUsage,Male,Clicked,AdTopicLine,City,Country,Timestamp
57.05,41,50278.89,269.96,1,1,Seamless full-range website,Port Erinberg,Sierra Leone,1/9/2016 3:45
42.44,56,43450.11,168.27,0,1,Profit-focused attitude-oriented task-force,Petersonfurt,Tajikistan,2/10/2016 15:23
62.2,25,25408.21,161.16,0,1,Cross-platform multimedia algorithm,New Lindaberg,Liechtenstein,4/24/2016 13:42
76.7,36,71136.49,222.25,0,0,Open-source coherent monitoring,West Russell,Ecuador,6/12/2016 5:31
61.22,45,63883.81,119.03,1,1,Streamlined logistical secured line,South Adam,Switzerland,1/5/2016 9:42
84.54,33,64902.47,204.02,1,0,Synchronized stable complexity,North Tracyport,Moldova,3/2/2016 10:07
46.08,30,66784.81,164.63,1,1,Synergistic value-added extranet,Brownport,Finland,7/21/2016 10:54
56.7,48,62784.85,123.13,0,1,Progressive non-volatile neural-net,Port Crystal,France,1/9/2016 4:53
81.03,28,63727.5,201.15,0,0,Persevering tertiary capability,Masonhaven,Venezuela,1/6/2016 13:20
80.91,32,61608.23,231.42,0,0,Enterprise-wide bi-directional secured line,Derrickhaven,Cuba,1/31/2016 4:10
40.06,38,56782.18,138.68,1,1,Organized contextually-based customer loyalty,Olsonstad,Peru,6/11/2016 8:38
83.47,39,64447.77,226.11,0,0,Total directional approach,New Brandy,Turkey,5/15/2016 20:48
73.84,31,42042.95,121.05,0,1,Programmable uniform productivity,South Jasminebury,Albania,6/18/2016 17:23
74.65,28,67669.06,212.56,0,0,Robust transitional ability,East Timothy,French Southern Territories,3/17/2016 5:00
60.25,35,54875.95,109.77,0,1,De-engineered fault-tolerant database,Charlottefort,Papua New Guinea,6/29/2016 13:35
59.21,35,73347.67,144.62,1,1,Managed disintermediate matrices,Lake Beckyburgh,Liechtenstein,2/2/2016 8:55
43.02,44,50199.77,125.22,0,1,Configurable bottom-line application,West Lindseybury,Thailand,4/13/2016 5:42
84.04,38,50723.67,244.55,0,0,Self-enabling didactic pricing structure,West Alyssa,Malaysia,7/20/2016 9:27
70.66,43,63450.96,120.95,1,1,Versatile scalable encryption,Lake Craigview,Mauritius,2/26/2016 4:57
70.58,26,56694.12,136.94,0,1,Proactive next generation knowledge user,Lake David,Algeria,2/26/2016 9:18
72.44,34,70547.16,230.14,0,0,Customizable tangible hierarchy,Bruceburgh,Christmas Island,4/15/2016 14:45
40.17,26,47391.95,171.31,1,1,Visionary asymmetric encryption,South Lauratown,Japan,2/1/2016 14:37
79.15,26,62312.23,203.23,0,0,Intuitive explicit conglomeration,Port Robin,Greenland,1/20/2016 19:09
44.49,53,63100.13,168,1,1,Business-focused real-time toolset,Jacksonburgh,Sao Tome and Principe,4/23/2016 6:28
73.04,37,73687.5,221.79,1,0,Organic contextually-based focus group,Erinmouth,Senegal,6/19/2016 22:26
76.28,33,52686.47,254.34,0,0,Right-sized asynchronous website,Port Aliciabury,Guadeloupe,2/15/2016 7:55
68.88,37,78119.5,179.58,0,0,Advanced 5thgeneration capability,Port Whitneyhaven,Belgium,2/9/2016 19:37
73.1,28,57014.84,242.37,0,0,Universal asymmetric archive,Jeffreyshire,Israel,1/25/2016 7:52
47.66,29,27086.4,156.54,0,1,Devolved responsive structure,Tinaton,Honduras,7/18/2016 11:33
87.3,35,58337.18,216.87,0,0,Triple-buffered regional toolset,North Loriburgh,Estonia,1/9/2016 7:28
89.34,32,50216.01,177.78,1,0,Object-based executive productivity,Wendyton,Paraguay,3/21/2016 21:15
81.37,26,53049.44,156.48,1,0,Business-focused responsive website,Lake Jacqueline,Kyrgyz Republic,2/15/2016 12:25
81.67,28,62927.96,196.76,1,0,Visionary analyzing structure,North Christopher,Mauritania,3/4/2016 8:48
46.37,52,32847.53,144.27,0,1,De-engineered solution-oriented open architecture,Alexanderfurt,French Guiana,1/5/2016 0:02
54.88,24,32006.82,148.61,0,1,Customizable modular Internet solution,West Pamela,Northern Mariana Islands,5/15/2016 1:03
40.67,35,48913.07,133.18,0,1,Stand-alone encompassing throughput,West Amanda,Lebanon,5/5/2016 9:28
71.76,35,69285.69,237.39,0,0,Customizable zero-defect matrix,South Tomside,Saint Pierre and Miquelon,5/26/2016 13:18
47.51,51,53700.57,130.41,1,1,Managed well-modulated collaboration,Bethburgh,American Samoa,5/21/2016 1:36
75.15,22,52011,212.87,1,0,Universal global intranet,Jamiefort,Austria,5/4/2016 12:06
56.01,26,46339.25,127.26,0,1,Re-engineered real-time success,Garciamouth,Tonga,7/5/2016 18:59
82.87,37,67938.77,213.36,0,0,Front-line fresh-thinking open system,West Brenda,Tonga,6/28/2016 20:13
45.05,42,66348.95,141.36,0,1,Digitized contextually-based product,South Kyle,French Southern Territories,5/5/2016 11:09
60.53,24,66873.9,167.22,0,1,Organic interactive support,Combsstad,Serbia,3/25/2016 15:17
50.52,31,72270.88,171.62,0,1,Function-based stable alliance,Lake Allenville,New Caledonia,1/23/2016 15:02
84.71,32,61610.05,210.23,0,0,Reactive responsive emulation,Greenechester,Taiwan,5/29/2016 7:29
55.2,39,76560.59,159.46,1,1,Exclusive zero tolerance alliance,Jordantown,United States of America,5/30/2016 7:36
81.61,33,62667.51,228.76,0,0,Enterprise-wide local matrices,Gravesport,Morocco,4/17/2016 15:46
71.55,36,75687.46,163.99,1,0,Inverse next generation moratorium,South Troy,Suriname,7/20/2016 23:08
82.4,36,66744.65,218.97,1,0,Implemented bifurcated workforce,Lake Patrick,Macedonia,6/29/2016 3:07
73.95,35,67714.82,238.58,0,0,Persevering even-keeled help-desk,Millerland,Wallis and Futuna,4/10/2016 14:48
72.07,31,69710.51,226.45,0,0,Grass-roots eco-centric instruction set,Port Jessicamouth,Chile,4/16/2016 16:38
80.39,31,66269.49,214.74,0,0,Fully-configurable incremental Graphical User Interface,Paulport,Gabon,5/3/2016 8:21
65.8,25,60843.32,231.49,1,0,Expanded radical software,Clineshire,Gabon,3/18/2016 16:04
69.97,28,55041.6,250,0,0,Mandatory 3rdgeneration moderator,Cynthiaside,Holy See (Vatican City State),5/22/2016 0:01
52.62,50,73863.25,176.52,0,1,Enterprise-wide foreground emulation,Port Juan,Seychelles,2/1/2016 20:30
39.25,39,62378.05,152.36,0,1,Customer-focused incremental system engine,Michellefort,Mayotte,1/23/2016 17:39
77.56,38,63336.85,130.83,1,1,Right-sized multi-tasking solution,Port Angelamouth,Uganda,5/19/2016 3:52
33.52,43,42191.61,165.56,0,1,Vision-oriented optimizing middleware,Jessicahaven,Cambodia,5/9/2016 21:54
79.81,24,56194.56,178.85,1,1,Proactive context-sensitive project,North Daniel,Antigua and Barbuda,5/31/2016 11:44
84.79,33,61771.9,214.53,0,0,Managed eco-centric encoding,New Juan,Cameroon,3/30/2016 19:09
82.7,35,61383.79,231.07,0,0,Visionary multi-tasking alliance,Amyfurt,Somalia,1/9/2016 15:49
84.88,32,63924.82,186.48,0,0,Ameliorated tangible hierarchy,Harrishaven,Lebanon,4/18/2016 3:41
54.92,54,23975.35,161.16,0,1,Extended interactive model,Roberttown,Saint Pierre and Miquelon,6/13/2016 13:59
76.56,34,70179.11,221.53,1,0,Universal bi-directional extranet,Jeremyshire,Dominica,4/23/2016 8:15
69.74,49,66524.8,243.37,0,0,Enhanced maximized access,Birdshire,Hungary,3/27/2016 16:41
75.55,22,41851.38,169.4,0,1,Upgradable even-keeled challenge,New Amanda,Taiwan,2/19/2016 7:29
72.19,33,61275.18,250.35,1,0,Synchronized national infrastructure,Curtisview,Saint Lucia,5/19/2016 11:16
84.29,41,60638.38,232.54,0,0,Re-contextualized systemic time-frame,Jacksonmouth,Niue,1/27/2016 20:47
73.89,39,47160.53,110.68,0,1,Horizontal national architecture,North April,France,4/20/2016 0:41
75.84,21,48537.18,186.98,0,0,Reactive bi-directional workforce,Hayesmouth,Cyprus,2/7/2016 7:41
73.38,25,53058.91,236.19,1,0,Horizontal transitional challenge,South Corey,French Southern Territories,4/21/2016 9:30
80.72,31,68614.98,186.37,0,0,Re-engineered neutral success,Juliaport,Costa Rica,4/19/2016 5:15
62.06,44,44174.25,105,0,1,Adaptive contextually-based methodology,Port Paultown,Austria,4/12/2016 14:01
51.5,34,67050.16,135.31,0,1,Configurable dynamic adapter,East Vincentstad,Zambia,3/15/2016 11:25
90.97,37,54520.14,180.77,0,0,Multi-lateral empowering throughput,Kimberlytown,Congo,2/16/2016 18:21
86.78,30,54952.42,170.13,1,0,Fundamental zero tolerance solution,New Steve,United States of America,2/18/2016 23:08
66.18,35,69476.42,243.61,0,0,Proactive asymmetric definition,New Johnberg,Pitcairn Islands,3/25/2016 8:40
84.33,41,54989.93,240.95,0,0,Pre-emptive zero tolerance Local Area Network,Shawstad,Belize,3/16/2016 0:28
36.87,36,29398.61,195.91,0,1,Self-enabling incremental collaboration,New Rebecca,Anguilla,1/28/2016 11:50
34.78,48,42861.42,208.21,1,1,Exclusive even-keeled moratorium,Jeffreyburgh,South Africa,3/24/2016 2:01
76.84,32,65883.39,231.59,0,0,Reduced incremental productivity,Faithview,Singapore,3/3/2016 22:31
67.05,25,65421.39,220.92,0,0,Realigned scalable standardization,Richardsontown,Finland,2/26/2016 9:54
41.47,31,60953.93,219.79,0,1,Secured scalable Graphical User Interface,Port Brookeland,Martinique,7/6/2016 15:56
80.71,26,58476.57,200.58,0,0,Team-oriented context-sensitive installation,East Christopherbury,Cameroon,6/24/2016 5:50
80.09,31,66636.84,214.08,0,0,Pre-emptive systematic budgetary management,Port Christinemouth,Sweden,5/23/2016 21:00
56.3,49,67430.96,135.24,1,1,Fully-configurable high-level implementation,South Meghan,New Caledonia,2/3/2016 19:12
79.36,34,57260.41,245.78,1,0,Profound maximized workforce,Hessstad,Bosnia and Herzegovina,4/28/2016 22:54
86.38,40,66359.32,188.27,1,0,Cross-platform 4thgeneration focus group,Rhondaborough,Singapore,3/19/2016 14:57
38.94,41,57587,142.67,1,1,Optional mission-critical functionalities,Lewismouth,Falkland Islands (Malvinas),7/15/2016 9:08
87.26,35,63060.55,184.03,0,0,Multi-layered tangible portal,New Paul,Bosnia and Herzegovina,5/12/2016 4:35
75.32,28,59998.5,233.6,1,0,Reduced mobile structure,Lake Angela,Mauritius,1/1/2016 21:58
74.38,40,74024.61,220.05,1,0,Enhanced zero tolerance Graphic Interface,East Graceland,Indonesia,3/13/2016 13:50
65.9,22,60550.66,211.39,0,0,De-engineered tertiary secured line,Hartport,Czech Republic,7/16/2016 14:13
36.31,47,57983.3,168.92,0,1,Reverse-engineered well-modulated capability,East Yvonnechester,Eritrea,4/18/2016 0:49
72.23,48,52736.33,115.35,0,1,Integrated coherent pricing structure,Burgessside,Mexico,7/17/2016 1:13
88.12,38,46653.75,230.91,0,0,Realigned next generation projection,Hurleyborough,Gibraltar,2/17/2016 7:05
83.97,28,56986.73,205.5,1,0,Reactive needs-based instruction set,Garychester,Haiti,6/16/2016 2:33
61.09,26,55336.18,131.68,1,1,User-friendly well-modulated leverage,East Kevinbury,Falkland Islands (Malvinas),4/9/2016 16:31
65.77,21,42162.9,218.61,1,0,Function-based fault-tolerant model,Contrerasshire,Eritrea,3/18/2016 17:35
81.58,25,39699.13,199.39,0,0,Decentralized needs-based analyzer,Erikville,Hong Kong,5/11/2016 22:02
37.87,52,56394.82,188.56,1,1,Phased analyzing emulation,Robertsonburgh,Gambia,5/25/2016 20:10
76.2,37,75044.35,178.51,0,0,Multi-layered fresh-thinking process improvement,Karenton,Barbados,2/29/2016 19:26
60.91,19,53309.61,184.94,0,1,Upgradable directional system engine,Port Kathleenfort,Nauru,6/9/2016 14:24
74.49,28,58996.12,237.34,0,0,Persevering eco-centric flexibility,Lake Adrian,Peru,1/30/2016 16:15
73.71,23,56605.12,211.38,1,0,Inverse local hub,New Sheila,El Salvador,2/15/2016 5:35
78.19,30,62475.99,228.81,0,0,Triple-buffered needs-based Local Area Network,Mollyport,Libyan Arab Jamahiriya,1/31/2016 6:14
79.54,44,70492.6,217.68,1,0,Centralized multi-state hierarchy,Sandraland,Cambodia,1/5/2016 16:34
74.87,52,43698.53,126.97,0,1,Public-key non-volatile implementation,Charlenetown,Saint Barthelemy,5/31/2016 2:17
87.09,36,57737.51,221.98,1,0,Synergized coherent interface,Luischester,Reunion,4/21/2016 16:10
37.45,47,31281.01,167.86,0,1,Horizontal high-level concept,South Johnnymouth,Antigua and Barbuda,4/10/2016 3:30
49.84,39,45800.48,111.59,0,1,Reduced multimedia project,Hannaport,Samoa,2/9/2016 7:21
51.38,59,42362.49,158.56,0,1,Object-based modular functionalities,East Anthony,Afghanistan,6/17/2016 17:11
83.4,34,66691.23,207.87,0,0,Polarized multimedia system engine,West Daleborough,Azerbaijan,5/22/2016 21:54
38.91,33,56369.74,150.8,1,1,Versatile reciprocal structure,Morrismouth,Philippines,7/13/2016 7:41
62.14,41,59397.89,110.93,1,1,Upgradable multi-tasking initiative,North Andrewstad,Angola,1/23/2016 18:59
79.72,28,66025.11,193.8,1,0,Configurable tertiary budgetary management,Wrightburgh,Albania,5/20/2016 12:17
73.3,36,68211.35,135.72,1,1,Adaptive asynchronous attitude,West Tanya,Hungary,1/30/2016 4:38
69.11,42,73608.99,231.48,1,0,Face-to-face mission-critical definition,Novaktown,Faroe Islands,4/21/2016 12:34
71.9,54,61228.96,140.15,1,1,Inverse zero tolerance customer loyalty,Timothymouth,Czech Republic,4/22/2016 20:32
72.45,29,72325.91,195.36,1,0,Centralized 24hour synergy,Robertmouth,Svalbard & Jan Mayen Islands,1/11/2016 6:02
77.07,40,44559.43,261.02,0,0,Face-to-face analyzing encryption,Stephenborough,Afghanistan,3/1/2016 10:01
74.62,36,73207.15,217.79,0,0,Self-enabling even-keeled methodology,Lake Kurtmouth,Rwanda,4/4/2016 8:19
82.07,25,46722.07,205.38,1,0,Function-based optimizing extranet,Lauraburgh,Panama,6/20/2016 6:30
58.6,50,45400.5,113.7,0,1,Organic asynchronous hierarchy,Rogerburgh,Samoa,1/28/2016 7:10
36.08,45,41417.27,151.47,1,1,Automated client-driven orchestration,Davidside,United States Minor Outlying Islands,7/3/2016 4:11
79.44,26,60845.55,206.79,0,0,Public-key zero-defect analyzer,West Thomas,Greece,5/15/2016 13:18
41.73,47,60812.77,144.71,0,1,Proactive client-server productivity,Andersonchester,Cote d'Ivoire,4/8/2016 22:48
73.19,25,64267.88,203.74,1,0,Cloned incremental matrices,North Ronaldshire,Pakistan,1/19/2016 12:18
77.6,24,58151.87,197.33,1,0,Open-architected system-worthy task-force,Greghaven,Anguilla,5/26/2016 15:40
89,37,52079.18,222.26,1,0,Devolved regional moderator,Jordanmouth,Cyprus,1/26/2016 15:56
69.2,42,26023.99,123.8,0,1,Balanced value-added database,Meyersstad,Peru,6/17/2016 9:58
67.56,31,62318.38,125.45,0,1,Seamless composite budgetary management,Michelleside,Kenya,4/25/2016 21:15
81.11,39,56216.57,248.19,1,0,Total cohesive moratorium,South Robert,Chad,7/13/2016 11:41
80.22,30,61806.31,224.58,0,0,Integrated motivating neural-net,New Tyler,Kyrgyz Republic,7/5/2016 15:14
43.63,41,51662.24,123.25,1,1,Exclusive zero tolerance frame,Jordanshire,Albania,3/15/2016 14:06
77.66,29,67080.94,168.15,0,0,Operative scalable emulation,Reyesland,Gabon,6/19/2016 22:08
74.63,26,51975.41,235.99,1,0,Enhanced asymmetric installation,New Traceystad,Dominican Republic,7/5/2016 20:16
49.67,27,28019.09,153.69,0,1,Face-to-face reciprocal methodology,Port Brian,Zimbabwe,5/9/2016 8:44
80.59,37,67744.56,224.23,0,0,Robust responsive collaboration,Lake Courtney,Croatia,7/21/2016 23:14
83.49,33,66574,190.75,1,0,Polarized logistical hub,Samuelborough,Cambodia,6/3/2016 17:32
44.46,42,30487.48,132.66,1,1,Intuitive zero-defect framework,Christinehaven,Mongolia,1/15/2016 19:40
68.1,40,74903.41,227.73,1,0,Reactive composite project,Thomasstad,Honduras,2/5/2016 16:50
63.88,38,19991.72,136.85,0,1,Upgradable even-keeled hardware,Kristintown,Madagascar,2/29/2016 23:56
78.83,36,66050.63,234.64,1,0,Future-proofed responsive matrix,New Wanda,Qatar,5/8/2016 12:08
79.97,44,70449.04,216,0,0,Programmable empowering middleware,Mariebury,China,7/13/2016 1:48
80.51,28,64008.55,200.28,1,0,Robust dedicated system engine,Christopherville,Bangladesh,1/8/2016 2:34
62.26,26,70203.74,202.77,0,0,Public-key mission-critical core,New Jasmine,Swaziland,6/8/2016 12:25
66.99,47,27262.51,124.44,1,1,Operative actuating installation,Lopezberg,Tanzania,6/15/2016 11:56
71.05,20,49544.41,204.22,1,0,Self-enabling asynchronous knowledge user,Jenniferstad,Eritrea,6/13/2016 22:41
42.05,51,28357.27,174.55,1,1,Configurable 24/7 hub,West Eduardotown,Canada,6/20/2016 14:20
50.52,28,66929.03,219.69,0,1,Versatile responsive knowledge user,Davisfurt,Saint Kitts and Nevis,4/3/2016 6:17
76.24,40,75524.78,198.32,1,0,Managed impactful definition,Bakerhaven,Burkina Faso,5/31/2016 23:42
77.29,27,66265.34,201.24,1,0,Grass-roots 4thgeneration forecast,Paulshire,Tuvalu,2/15/2016 3:43
35.98,47,55993.68,165.52,1,1,Focused 3rdgeneration pricing structure,West Jane,El Salvador,3/10/2016 23:26
84.95,34,56379.3,230.36,0,0,Mandatory dedicated data-warehouse,Lake Brian,Madagascar,2/26/2016 17:01
39.34,43,31215.88,148.93,0,1,Proactive radical support,Alvaradoport,Bangladesh,4/17/2016 21:39
87.23,29,51015.11,202.12,0,0,Re-engineered responsive definition,Lake Kevin,American Samoa,3/26/2016 19:54
57.24,52,46473.14,117.35,1,1,Profound optimizing utilization,Richardsonland,Latvia,6/29/2016 21:39
81.58,41,55479.62,248.16,0,0,Cloned explicit middleware,East Sheriville,Moldova,1/27/2016 17:55
56.34,50,68713.7,139.02,1,1,Multi-channeled mission-critical success,Port Michealburgh,Anguilla,3/17/2016 23:39
48.73,27,34191.23,142.04,0,1,Versatile content-based protocol,Monicaview,Bangladesh,7/9/2016 16:23
51.68,49,51067.54,258.62,0,1,Seamless cohesive conglomeration,Katieport,Faroe Islands,6/28/2016 12:51
35.34,45,46693.76,152.86,0,1,De-engineered actuating hierarchy,East Brittanyville,Taiwan,6/18/2016 16:32
48.09,33,19345.36,180.42,0,1,Balanced motivating help-desk,West Travismouth,Heard Island and McDonald Islands,5/28/2016 12:38
78.68,29,66225.72,208.05,0,0,Inverse high-level capability,Leonchester,Israel,1/16/2016 16:40
68.82,20,38609.2,205.64,1,0,Cross-platform client-server hierarchy,Ramirezland,Bolivia,7/11/2016 15:45
56.99,40,37713.23,108.15,0,1,Sharable optimal capacity,Brownton,Bahamas,7/16/2016 23:08
86.63,39,63764.28,209.64,1,0,Face-to-face multimedia success,New Jessicaport,Costa Rica,4/6/2016 21:20
41.18,43,41866.55,129.25,1,1,Enterprise-wide incremental Internet solution,New Denisebury,Myanmar,7/5/2016 0:54
71.03,32,57846.68,120.85,0,1,Advanced systemic productivity,Keithtown,Netherlands Antilles,2/17/2016 23:47
72.92,29,69428.73,217.1,1,0,Customizable mission-critical adapter,Port Melissastad,Czech Republic,3/15/2016 17:33
77.14,24,60283.98,184.88,1,0,Horizontal heuristic synergy,Janiceview,Iceland,1/21/2016 18:51
60.7,43,79332.33,192.6,1,0,Multi-tiered multi-state moderator,Mataberg,Palau,6/6/2016 22:41
34.3,41,53167.68,160.74,1,1,Re-contextualized reciprocal interface,West Melaniefurt,Libyan Arab Jamahiriya,5/16/2016 14:50
83.71,45,64564.07,220.48,1,0,Organized demand-driven knowledgebase,Millerfort,Kazakhstan,4/17/2016 19:10
53.38,35,60803.37,120.06,1,1,Total local synergy,Alexanderview,French Guiana,3/30/2016 1:05
58.03,31,28387.42,129.33,0,1,User-friendly bandwidth-monitored attitude,South Jade,Tuvalu,6/29/2016 9:04
43.59,36,58849.77,132.31,1,1,Re-engineered context-sensitive knowledge user,Lake Susan,Congo,5/26/2016 13:43
60.07,42,65963.37,120.75,1,1,Total user-facing hierarchy,South Vincentchester,United Kingdom,4/15/2016 10:16
54.43,37,75180.2,154.74,1,1,Balanced contextually-based pricing structure,Williamsmouth,Luxembourg,5/31/2016 9:06
81.99,33,61270.14,230.9,0,0,Inverse bi-directional knowledge user,Taylorport,French Polynesia,2/15/2016 14:13
60.53,29,56759.48,123.28,0,1,Networked even-keeled workforce,Williamsport,Papua New Guinea,5/9/2016 10:21
84.69,31,46160.63,231.85,1,0,Right-sized transitional parallelism,Emilyfurt,Maldives,7/7/2016 23:32
88.72,32,43870.51,211.87,1,0,Customer-focused system-worthy superstructure,East John,Zambia,1/3/2016 17:10
88.89,35,50439.49,218.8,1,0,Balanced 4thgeneration success,East Deborahhaven,Cook Islands,7/17/2016 18:55
69.58,43,28028.74,255.07,0,1,Cross-group value-added success,Port Katelynview,Congo,4/4/2016 18:36
85.23,36,64238.71,212.92,1,0,Visionary client-driven installation,Paulhaven,Senegal,2/27/2016 12:34
83.55,39,65816.38,221.18,1,0,Switchable well-modulated infrastructure,Elizabethmouth,Myanmar,6/8/2016 20:13
56.66,42,72684.44,139.42,0,1,Upgradable asymmetric emulation,Lake Jesus,Dominican Republic,2/20/2016 10:52
56.39,27,38817.4,248.12,1,0,Configurable tertiary capability,North Tylerland,Bahrain,3/23/2016 21:06
76.24,27,63976.44,214.42,0,0,Monitored dynamic instruction set,Munozberg,Puerto Rico,6/7/2016 1:29
57.64,36,37212.54,110.25,1,1,Robust web-enabled attitude,North Maryland,Chile,1/18/2016 15:18
78.18,23,52691.79,167.67,0,0,Customer-focused full-range neural-net,West Barbara,Bolivia,6/9/2016 19:32
46.04,32,65499.93,147.92,0,1,Universal transitional Graphical User Interface,Andrewborough,Serbia,5/30/2016 20:07
79.4,35,63966.72,236.87,0,0,User-centric intangible contingency,New Gabriel,Malaysia,4/1/2016 9:21
36.44,39,52400.88,147.64,1,1,Configurable disintermediate throughput,Port Patrickton,Estonia,5/31/2016 6:21
53.14,38,49111.47,109,1,1,Automated web-enabled migration,West Julia,Greenland,7/3/2016 22:13
32.84,40,41232.89,171.72,0,1,Triple-buffered 3rdgeneration migration,New Keithburgh,Trinidad and Tobago,3/10/2016 1:36
73.72,32,52140.04,256.4,1,0,Universal contextually-based system engine,Richardsland,Thailand,3/18/2016 2:39
38.1,34,60641.09,214.38,1,1,Optional secondary access,North Aaronchester,Philippines,5/30/2016 18:08
73.93,44,74180.05,218.22,0,0,Quality-focused scalable utilization,Lake Matthewland,Niue,2/20/2016 0:06
51.87,50,51869.87,119.65,0,1,Team-oriented dynamic forecast,Kevinberg,Afghanistan,3/10/2016 22:28
77.69,22,48852.58,169.88,1,0,Horizontal heuristic support,Morganfort,Angola,6/21/2016 14:32
43.41,28,59144.02,160.73,0,1,Customer-focused zero-defect process improvement,Lovemouth,Egypt,2/5/2016 15:26
55.92,24,33951.63,145.08,0,1,Focused systemic benchmark,Taylorhaven,Fiji,5/31/2016 21:41
80.67,34,58909.36,239.76,0,0,Seamless impactful info-mediaries,Jamesville,Portugal,1/1/2016 2:52
83.42,25,49850.52,183.42,1,0,Advanced heuristic firmware,East Toddfort,Austria,3/4/2016 14:10
82.12,52,28679.93,201.15,1,1,Fully-configurable client-driven customer loyalty,East Dana,Germany,2/3/2016 10:40
66.17,33,69869.66,238.45,0,0,Cross-group neutral synergy,West Lucas,Panama,1/20/2016 0:26
43.01,35,48347.64,127.37,0,1,Organized 24/7 middleware,Butlerfort,United States of America,6/11/2016 9:37
80.05,25,45959.86,219.94,1,0,Networked stable open architecture,Lindaside,Christmas Island,3/8/2016 5:48
64.88,42,70005.51,129.8,1,1,Customizable systematic service-desk,West Chloeborough,Equatorial Guinea,2/14/2016 22:23
79.82,26,51512.66,223.28,1,0,Function-based directional productivity,Jayville,Micronesia,7/17/2016 22:04
48.03,40,25598.75,134.6,1,1,Networked stable array,East Lindsey,Malta,6/2/2016 22:16
32.99,45,49282.87,177.46,0,1,Phased full-range hardware,Masseyshire,Ecuador,4/30/2016 19:42
74.88,27,67240.25,175.17,1,0,Organized empowering policy,Sarahton,Sudan,4/17/2016 6:58
36.49,52,42136.33,196.61,1,1,Object-based system-worthy superstructure,Ryanhaven,Lao People's Democratic Republic,3/9/2016 0:41
88.04,45,62589.84,191.17,1,0,Profound explicit hardware,Lake Deborahburgh,Saint Vincent and the Grenadines,3/7/2016 20:02
45.7,33,67384.31,151.12,1,1,Self-enabling multimedia system engine,New Williammouth,Switzerland,5/26/2016 10:33
82.38,35,25603.93,159.6,0,1,Polarized analyzing intranet,Port Blake,Spain,7/18/2016 1:36
52.68,23,39616,149.2,1,1,Vision-oriented attitude-oriented Internet solution,West Richard,Turks and Caicos Islands,7/16/2016 5:56
65.59,47,28265.81,121.81,0,1,Digitized disintermediate ability,Brandymouth,Indonesia,3/22/2016 6:41
65.65,25,63879.72,224.92,1,0,Intuitive explicit firmware,Sandraville,Cook Islands,6/3/2016 6:34
43.84,36,70592.81,167.42,0,1,Public-key real-time definition,Port Jessica,Australia,6/28/2016 9:19
67.69,37,76408.19,216.57,0,0,Monitored content-based implementation,Lake Jasonchester,Finland,7/18/2016 18:33
78.37,24,55015.08,207.27,0,0,Quality-focused zero-defect budgetary management,Pearsonfort,Pakistan,1/23/2016 4:47
81.46,29,51636.12,231.54,0,0,Intuitive fresh-thinking moderator,Sellerstown,Ireland,2/29/2016 11:00
47.48,31,29359.2,141.34,0,1,Reverse-engineered 24hour hardware,Yuton,Eritrea,6/30/2016 0:19
75.15,33,71296.67,219.49,1,0,Synchronized zero tolerance product,Smithtown,France,6/19/2016 18:19
78.76,24,46422.76,219.98,1,0,Reactive interactive protocol,Joanntown,Austria,1/8/2016 8:08
44.96,50,52802,132.71,1,1,Focused fresh-thinking Graphic Interface,South Peter,Heard Island and McDonald Islands,1/2/2016 12:25
39.56,41,59243.46,143.13,1,1,Ameliorated exuding solution,Port Mitchell,Western Sahara,5/13/2016 11:57
39.76,28,35350.55,196.83,1,1,Integrated maximized service-desk,Pottermouth,Liberia,2/8/2016 14:02
57.11,22,59677.64,207.17,1,0,Self-enabling tertiary challenge,Lake Jonathanview,Dominican Republic,6/7/2016 23:46
83.26,40,70225.6,187.76,1,0,Decentralized foreground infrastructure,Alanview,Tonga,1/2/2016 14:36
69.42,25,65791.17,213.38,0,0,Quality-focused hybrid frame,Carterport,Lao People's Democratic Republic,2/13/2016 4:16
50.6,30,34191.13,129.88,1,1,Realigned reciprocal framework,New Daniellefort,United States of America,5/3/2016 12:57
46.2,37,51315.38,119.3,0,1,Distributed maximized ability,Welchshire,Belgium,4/3/2016 11:38
66.88,35,62790.96,119.47,1,1,Polarized bifurcated array,Russellville,Indonesia,3/23/2016 19:58
83.97,40,66291.67,158.42,1,0,Progressive asynchronous adapter,West Lisa,Croatia,2/2/2016 11:49
76.56,30,68030.18,213.75,0,0,Business-focused high-level hardware,Greentown,Brunei Darussalam,3/8/2016 10:39
35.49,48,43974.49,159.77,0,1,Fully-configurable holistic throughput,Timothyport,American Samoa,4/8/2016 14:35
80.29,31,49457.48,244.87,1,0,Ameliorated contextually-based collaboration,Teresahaven,Netherlands Antilles,6/30/2016 0:40
50.19,40,33987.27,117.3,0,1,Progressive uniform budgetary management,Lake Stephenborough,Thailand,3/25/2016 19:02
59.12,33,28210.03,124.54,0,1,Synergistic stable infrastructure,Silvaton,Greece,5/12/2016 21:32
59.88,30,75535.14,193.63,1,0,Reverse-engineered content-based intranet,West Michaelstad,French Polynesia,3/2/2016 5:11
59.7,28,49158.5,120.25,0,1,Expanded zero administration attitude,Florestown,Guernsey,5/10/2016 14:12
67.8,30,39809.69,117.75,1,1,Team-oriented 6thgeneration extranet,New Jay,Isle of Man,3/3/2016 2:59
